Название,Рейтинг,Направления
Пончик Лайк,4.0,Чебуречная | Детский ресторан | Фастфуд
Кофейня niktarin.coffee,4.0,Кофе на вынос
Боярская доставка в казанах,2.0,Круглосуточная доставка еды | Доставка еды
Coffee like,3.0,Бар молочных коктейлей | Кофейня | Кофе на вынос
Fresh,5.0,Бар молочных коктейлей | Паназиатская кухня | Бургерная
Галерея Суши,1.5,Доставка еды
В лучших традициях,5.0,Шашлычная | Кавказская кухня | Фастфуд
Кулинария,2.7,Пекарня | Кондитерские изделия | Кондитерская
Кедр,5.0,Винный бар | Банкетный зал | Бар
Регион 70,5.0,Пельменная | Стейк-хаус | Доставка горячих блюд
Мойё кофе,5.0,Кофе на вынос
Мойё кофе,4.0,Кофе на вынос
Утро начинается с кофе,2.0,Бар молочных коктейлей | Кавказская кухня | Пиццерия
Lifehacker coffee,3.0,Кофе на вынос
Мойё кофе,5.0,Кофе на вынос
Токио,4.0,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Coffee like,2.0,Бар молочных коктейлей | Бабл ти бар | Кофейня
У мамы,4.0,Домашняя кухня | Хинкальная | Пельменная
Водомат,5.0,
Русский хлеб,5.0,Пекарня
Sендвич,5.0,Детский ресторан | Фастфуд | Доставка хот-догов
Минутка,2.0,Восточная кухня | Гриль-бар | Кондитерские изделия
Ezh coffee,4.0,Кофейня | Доставка еды | Бизнес-ланч
Kraft Roll,2.0,Паназиатская кухня | Суши-бар | Фастфуд
Шашлычок,5.0,Шашлычная | Кавказская кухня
Кружка счастья,4.0,Кофе на вынос
В лаваше,4.0,Точка по продаже шаурмы | Шашлычная | Кавказская кухня
Rostic`s,2.0,Бар молочных коктейлей | Бургерная
Bubble Tea,4.0,Бабл ти бар
Ростовская шаурма,5.0,Точка по продаже шаурмы | Фастфуд
Шаурма и гриль,4.0,Точка по продаже шаурмы | Шашлычная | Фастфуд
Черная акула,4.0,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Ретро,3.5,
Ноу-Хау,5.0,Панорамный ресторан | Кофейня | Доставка хот-догов
Узген,3.0,Точка по продаже шаурмы | Чебуречная | Восточная кухня
Столовая на улице Вершинина,5.0,Столовая
Ешь Суши,3.0,Паназиатская кухня | Суши-бар | Японская кухня
Столовая в Советском районе,5.0,Столовая
Автомат по продаже кофе на улице Карла Маркса,3.0,Кофе на вынос
Сдоба,5.0,Пекарня
Столовая для бездомных,3.0,Столовая
В главном,2.0,Столовая | Кофе на вынос | Бизнес-ланч
№1,4.0,Столовая
Безумно. Крутая шаурма,3.0,Точка по продаже шаурмы | Фастфуд | Доставка фастфуда
Пряникъ,2.0,Кондитерские изделия | Кейтеринг
Kikko,5.0,Кофе на вынос
Хвоя,3.0,Банкетный зал
Экспресс-кофейня barbarista coffee,2.0,Бар молочных коктейлей | Кофейня | Кофе на вынос
Минутка,3.0,Кофе на вынос
ЧебурекМи,2.0,Домашняя кухня | Чебуречная | Восточная кухня
Сибирское изобилие,4.0,Столовая | Банкетный зал | Европейская кухня
Хлебный домик,5.0,Кулинария
Пирога,2.0,Пекарня | Кондитерские изделия | Кондитерская
Обеды в офис,2.0,Доставка горячих блюд | Доставка салатов | Доставка супов
Пекарня на улице Смирнова,5.0,Пекарня
Кафе быстрого питания в Ленинском районе,5.0,Точка по продаже шаурмы | Шашлычная | Кавказская кухня
Familia,5.0,Кафе | Кафе с бельгийскими вафлями | Детский ресторан
33 пингвина,2.0,Кафе | Кафе с бельгийскими вафлями | Бабл ти бар
Пять звёзд,5.0,Точка по продаже шаурмы | Фастфуд
Тики-Така,3.0,Бар молочных коктейлей | Кофейня | Кофе на вынос
На Фармочке,2.0,Столовая | Банкетный зал | Доставка азиатской кухни
Насиба,5.0,Восточная кухня | Европейская кухня | Доставка еды
Пончик,5.0,Бар молочных коктейлей | Кондитерские изделия | Кофе на вынос
Фреш Ролл,2.0,Паназиатская кухня | Фреш-бар | Суши-бар
Ерофей Петрович,5.0,Пельменная | Гриль-бар | Винный бар
Царь,3.0,Доставка еды
Sushiland_70,2.0,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Мини-шеф,5.0,Бар молочных коктейлей | Детский ресторан | Пиццерия
Kafedra,3.0,Круглосуточная кофейня | Кондитерские изделия | Кофейня
Колобок.Ру,4.0,Столовая | Кофе на вынос | Бизнес-ланч
Delivery food,5.0,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Мистер Хе,5.0,Кулинария
Киоск домашней выпечки,4.0,Кафе | Кафе с бельгийскими вафлями | Пиццерия
Surf Coffee x Lamp,4.0,Бар молочных коктейлей | Фреш-бар | Кофейня
Буffет,4.0,Бар молочных коктейлей | Круглосуточная кофейня | Кофейня
Узбегим,4.0,Чебуречная | Восточная кухня | Пельменная
Sokolova_dessert,5.0,Кондитерские изделия | Кондитерская
ProFerma,2.0,Бар молочных коктейлей | Бургерная | Фастфуд
Очаг,2.0,Восточная кухня | Гриль-бар | Шашлычная
Мойё кофе,5.0,Кофе на вынос
Don macaron,5.0,Кондитерские изделия | Кондитерская | Кофе на вынос
Клюква,5.0,Столовая | Кофе на вынос
Наше,4.0,Кафе | Кафе с бельгийскими вафлями | Чебуречная
Е`да,2.0,Фастфуд | Кофе на вынос
Живая вода,4.0,
Green,5.0,Бар | Кейтеринг | Танцпол
SalmonDay,4.0,Доставка азиатской кухни | Доставка корейской еды | Доставка салатов
Сдоба,4.0,Пекарня | Фастфуд | Кофе на вынос
Live,4.0,Крафтовый бар | Бар | Живая музыка
Буррито.,4.0,Фастфуд | Мексиканская кухня | Латиноамериканская кухня
Чоколатте,4.0,Бар молочных коктейлей | Панорамный ресторан | Фреш-бар
Шашлык хаус,5.0,Доставка еды
Томичка,2.0,Столовая | Банкетный зал | Кофе на вынос
Точка продажи хот-догов,4.0,Бургерная | Фастфуд | Доставка хот-догов
Street food #1,5.0,Бар молочных коктейлей | Точка по продаже шаурмы | Бургерная
Фреш Ролл,2.0,Паназиатская кухня | Фреш-бар | Суши-бар
Coffee to go,4.0,Кофе на вынос
Пекарня на проспекте Мира,2.5,Пекарня | Кофе на вынос
Zavarnoy_strj,4.5,Кондитерские изделия | Кондитерская | Кофе на вынос
Шашлычная,4.0,Доставка кавказской еды | Доставка шашлыков | Доставка горячих блюд
Шашлычок,4.0,Шашлычная | Кавказская кухня
Суши wok,2.0,Паназиатская кухня | Вегетарианская кухня | Суши-бар
Безумно. Крутая шаурма,2.0,Точка по продаже шаурмы | Фастфуд | Дог-френдли
Every day,4.0,Паназиатская кухня | Суши-бар | Японская кухня
Юг,3.3,Гриль-бар | Шашлычная
Doner master,2.0,Точка по продаже шаурмы | Восточная кухня | Фастфуд
Столовая на улице Белинского,3.0,Столовая
Слон,4.0,Бургерная | Фастфуд
Кофан,4.0,Бар молочных коктейлей | Кофе на вынос
София,4.0,Точка по продаже шаурмы | Чебуречная | Пиццерия
Столовая на улице Ивановского,5.0,Столовая
Ezh coffee,3.0,Кафе | Кафе с бельгийскими вафлями | Бар молочных коктейлей
Ростовская шаурма,4.0,Точка по продаже шаурмы | Восточная кухня | Фастфуд
Сказка,4.5,Пельменная | Банкетный зал
Senior,4.0,Точка по продаже шаурмы | Фастфуд
СушиSell,4.0,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Суши Море,2.0,Паназиатская кухня | Суши-бар | Фастфуд
Baba Roma,2.0,Бар молочных коктейлей | Пекарня | Кулинария
Оливье,2.0,Кафе | Кафе с бельгийскими вафлями | Детский ресторан
№1,5.0,Столовая | Кофе на вынос
Пирожковая,4.0,Пиццерия | Фастфуд | Кофе на вынос
Шаурма,2.0,Бар молочных коктейлей | Точка по продаже шаурмы | Фастфуд
Кафе-шашлычная,4.0,Точка по продаже шаурмы | Шашлычная | Фастфуд
Султан,4.0,Точка по продаже шаурмы | Восточная кухня | Шашлычная
Бар на Рабочей улице,4.0,Круглосуточный бар | Бар
Пекарья,4.0,Фастфуд
Ecoplatform,4.0,
ВокзалЪ,4.0,Фастфуд | Кофе на вынос
Sushiroll,2.0,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Sushi hino,2.0,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Ростовская шаурма,4.0,Точка по продаже шаурмы | Фастфуд
Сибирский рацион,4.0,Блинная | Восточная кухня | Пельменная
Мойё кофе,2.0,Кофе на вынос
АриС,2.7,Чебуречная | Пельменная | Фастфуд
Сдоба,2.5,Пекарня | Кофе на вынос
Lifehacker coffee,2.0,Кофе на вынос
Киоск фастфуда,4.0,Фастфуд
Суши мастер,4.0,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Шаурмания и не только,3.0,Кафе | Домашняя кухня | Кафе с гиросом
Мойё кофе,2.0,Кофе на вынос
Вы&Печка,5.0,Точка по продаже шаурмы | Чебуречная | Рыбный ресторан
Su&Shi,3.0,Паназиатская кухня | Суши-бар | Фастфуд
Жиз-Быз,3.0,Восточная кухня | Фастфуд
Киоск фастфуда,3.0,Точка по продаже шаурмы | Восточная кухня | Фастфуд
Укромное местечко,3.0,Столовая | Банкетный зал
Теремок,3.5,Чебуречная | Восточная кухня | Пельменная
Stop,3.5,
Безумно. Крутая шаурма,2.0,Точка по продаже шаурмы | Фастфуд
Ош,2.0,Восточная кухня | Шашлычная | Банкетный зал
Блин. Сковородка,5.0,Блинная | Бар молочных коктейлей | Фастфуд
У кольца,4.0,Восточная кухня
Садко,4.0,Точка по продаже шаурмы | Чебуречная | Восточная кухня
Оберон,2.0,Шашлычная | Бургерная | Пиццерия
Кафе-столовая,1.5,Столовая | Банкетный зал | Доставка горячих блюд
Смак тайм,2.5,Фастфуд | Кофе на вынос | Терраса
Центр по продаже коктейлей,2.0,Бар молочных коктейлей | Кофе на вынос
Brtooch,4.0,Точка по продаже шаурмы | Шашлычная | Фастфуд
Сдоба,4.0,Пекарня
Кофейня break,2.0,Кофе на вынос
Время обеда!,4.0,
Ростовская шаурма,4.0,Точка по продаже шаурмы | Фастфуд | Кофе на вынос
Элит ролл,4.0,Паназиатская кухня | Японская кухня | Доставка азиатской кухни
Тортоëжка,5.0,Кондитерские изделия | Торты на заказ
Brunch Time,1.7,Доставка салатов | Доставка блинов | Доставка фастфуда
Суши wok,2.0,Паназиатская кухня | Рыбный ресторан | Вегетарианская кухня
Пирога,3.0,Пекарня | Кондитерская | Кофейня
Как дома,4.0,Столовая | Банкетный зал | Бизнес-ланч
Кофе Рама,2.0,Бар молочных коктейлей | Фреш-бар | Фастфуд
Буфет в Октябрьском районе,4.0,Фастфуд | Кофе на вынос
Хлебный двор,4.0,Кулинария | Кондитерские изделия | Кондитерская
Закусочная на проспекте Мира,4.0,Чебуречная | Хинкальная | Кавказская кухня
Cake House,5.0,Кондитерские изделия | Кофейня
Кафе на Трактовой улице,3.5,
Дело в креме,2.0,Кондитерские изделия | Кондитерская | Кофе на вынос
Do.Bro Кофе,3.0,
Трапеза,4.0,Столовая | Банкетный зал | Кофе на вынос
Мария,4.0,Столовая | Кофе на вынос
Узбечка,4.0,Чебуречная | Восточная кухня | Шашлычная
Кофейня moose,2.5,Бар молочных коктейлей | Кондитерские изделия | Кофе на вынос
Томский кондитер,4.0,Кондитерские изделия | Кондитерская
Дастархан,3.0,Чебуречная | Восточная кухня | Пельменная
Суворов бар,4.0,Фастфуд круглосуточно | Фастфуд | Кофе на вынос
Трапеза,2.0,Столовая | Банкетный зал | Кофе на вынос
Маленькие радости,2.0,Бар молочных коктейлей | Кофейня | Кофе на вынос
Бахарат,3.0,Фастфуд круглосуточно | Точка по продаже шаурмы | Восточная кухня
Столовая Медколледжа,4.0,Банкетный зал
Провинция,3.0,
Podzemka,2.0,Бар молочных коктейлей | Паназиатская кухня | Бургерная
Hohoro coffee,3.0,Кофе на вынос
Лисичкин хлеб,4.0,Пекарня | Кофе на вынос
Буфет в Советском районе,4.0,Фастфуд | Кофе на вынос
Кофейро,4.0,Кофе на вынос
Су энд Ши,4.0,Паназиатская кухня | Суши-бар | Фастфуд
Коробок,3.0,Паназиатская кухня | Суши-бар | Пиццерия
Doner Time,2.0,Точка по продаже шаурмы | Восточная кухня | Фастфуд
Кафе восточной кухни на Тихой улице,4.0,Восточная кухня | Пельменная | Шашлычная
Beer point,3.0,Пивной ресторан | Бар | Дог-френдли
Esterhazy,4.0,
Венская кофейня,5.0,Кофейня | Кофе на вынос
Русские блины,3.0,Блинная | Фастфуд
